pop,sample,super_pop,gender,population_name
CHB,NA18621,EAS,male,han_chinese
CHB,NA18622,EAS,male,han_chinese
CHB,NA18623,EAS,male,han_chinese
CHS,HG00407,EAS,female,southern_han_chinese
CHS,HG00406,EAS,male,southern_han_chinese
CHS,HG00421,EAS,male,southern_han_chinese
CHS,HG00409,EAS,male,southern_han_chinese
CHS,HG00428,EAS,female,southern_han_chinese
CHS,HG00436,EAS,male,southern_han_chinese
CHS,HG00437,EAS,female,southern_han_chinese
CHS,HG00422,EAS,female,southern_han_chinese
CHS,HG00403,EAS,male,southern_han_chinese
CHS,HG00404,EAS,female,southern_han_chinese
CHS,HG00446,EAS,female,southern_han_chinese
CHS,HG00448,EAS,male,southern_han_chinese
CHS,HG00449,EAS,female,southern_han_chinese
CHS,HG00451,EAS,male,southern_han_chinese
CHS,HG00452,EAS,female,southern_han_chinese
CHS,HG00457,EAS,male,southern_han_chinese
CHS,HG00458,EAS,female,southern_han_chinese
CHS,HG00463,EAS,male,southern_han_chinese
CHS,HG00464,EAS,female,southern_han_chinese
CHS,HG00472,EAS,male,southern_han_chinese
CHS,HG00442,EAS,male,southern_han_chinese
CHS,HG00443,EAS,female,southern_han_chinese
CHS,HG00445,EAS,male,southern_han_chinese
CHS,HG00478,EAS,male,southern_han_chinese
CHS,HG00479,EAS,female,southern_han_chinese
CHS,HG00500,EAS,male,southern_han_chinese
CHS,HG00513,EAS,female,southern_han_chinese
CHS,HG00524,EAS,male,southern_han_chinese
CHS,HG00525,EAS,female,southern_han_chinese
CHS,HG00530,EAS,male,southern_han_chinese
CHS,HG00531,EAS,female,southern_han_chinese
CHS,HG00533,EAS,male,southern_han_chinese
CHS,HG00534,EAS,female,southern_han_chinese
CHS,HG00536,EAS,male,southern_han_chinese
CHS,HG00537,EAS,female,southern_han_chinese
CHS,HG00542,EAS,male,southern_han_chinese
CHS,HG00543,EAS,female,southern_han_chinese
CHS,HG00589,EAS,male,southern_han_chinese
CHS,HG00590,EAS,female,southern_han_chinese
CHS,HG00650,EAS,male,southern_han_chinese
CHS,HG00556,EAS,male,southern_han_chinese
CHS,HG00419,EAS,female,southern_han_chinese
CHS,HG00559,EAS,male,southern_han_chinese
CHS,HG00560,EAS,female,southern_han_chinese
CHS,HG00565,EAS,male,southern_han_chinese
CHS,HG00566,EAS,female,southern_han_chinese
CHS,HG00580,EAS,male,southern_han_chinese
CHS,HG00581,EAS,female,southern_han_chinese
CHS,HG00583,EAS,male,southern_han_chinese
CHS,HG00584,EAS,female,southern_han_chinese
CHS,HG00614,EAS,female,southern_han_chinese
CHS,HG00619,EAS,male,southern_han_chinese
CHS,HG00592,EAS,male,southern_han_chinese
CHS,HG00593,EAS,female,southern_han_chinese
CHS,HG00595,EAS,male,southern_han_chinese
CHS,HG00596,EAS,female,southern_han_chinese
CHS,HG00598,EAS,male,southern_han_chinese
CHS,HG00599,EAS,female,southern_han_chinese
CHS,HG00607,EAS,male,southern_han_chinese
CHS,HG00608,EAS,female,southern_han_chinese
CHS,HG00473,EAS,female,southern_han_chinese
CHS,HG00475,EAS,male,southern_han_chinese
CHS,HG00476,EAS,female,southern_han_chinese
CHS,HG00674,EAS,male,southern_han_chinese
CHS,HG00675,EAS,female,southern_han_chinese
CHS,HG00620,EAS,female,southern_han_chinese
CHS,HG00622,EAS,male,southern_han_chinese
CHS,HG00623,EAS,female,southern_han_chinese
CHS,HG00625,EAS,male,southern_han_chinese
CHS,HG00626,EAS,female,southern_han_chinese
CHS,HG00628,EAS,male,southern_han_chinese
CHS,HG00629,EAS,female,southern_han_chinese
CHS,HG00631,EAS,male,southern_han_chinese
CHS,HG00632,EAS,female,southern_han_chinese
CHS,HG00634,EAS,male,southern_han_chinese
CHS,HG00672,EAS,female,southern_han_chinese
CHS,HG00707,EAS,male,southern_han_chinese
CHS,HG00708,EAS,female,southern_han_chinese
CHS,HG00683,EAS,male,southern_han_chinese
CHS,HG00684,EAS,female,southern_han_chinese
CHS,HG00651,EAS,female,southern_han_chinese
CHS,HG00653,EAS,male,southern_han_chinese
CHS,HG00654,EAS,female,southern_han_chinese
CHS,HG00656,EAS,male,southern_han_chinese
CHS,HG00657,EAS,female,southern_han_chinese
CHS,HG00662,EAS,male,southern_han_chinese
CHS,HG00663,EAS,female,southern_han_chinese
CHS,HG00671,EAS,male,southern_han_chinese
CHS,HG00705,EAS,female,southern_han_chinese
CHS,HG00689,EAS,male,southern_han_chinese
CHS,HG00610,EAS,male,southern_han_chinese
CHS,HG00717,EAS,female,southern_han_chinese
CHS,HG00728,EAS,male,southern_han_chinese
CHS,HG00698,EAS,male,southern_han_chinese
CHS,HG00690,EAS,female,southern_han_chinese
CHS,HG00692,EAS,male,southern_han_chinese
CHS,HG00693,EAS,female,southern_han_chinese
CHS,HG00613,EAS,male,southern_han_chinese
CHS,HG00699,EAS,female,southern_han_chinese
CHS,HG00701,EAS,male,southern_han_chinese
CHS,HG00704,EAS,male,southern_han_chinese
CHS,HG00557,EAS,female,southern_han_chinese
CHS,HG00729,EAS,female,southern_han_chinese
CHS,HG00611,EAS,female,southern_han_chinese
CHS,HG00410,EAS,female,southern_han_chinese
CLM,HG01131,AMR,female,colombian
CLM,HG01257,AMR,female,colombian
CLM,HG01130,AMR,male,colombian
CLM,HG01374,AMR,male,colombian
CLM,HG01133,AMR,male,colombian
CLM,HG01125,AMR,female,colombian
CLM,HG01259,AMR,male,colombian
CLM,HG01253,AMR,male,colombian
CLM,HG01254,AMR,female,colombian
CLM,HG01369,AMR,female,colombian
CLM,HG01124,AMR,male,colombian
CLM,HG01372,AMR,female,colombian
CLM,HG01443,AMR,male,colombian
CLM,HG01256,AMR,male,colombian
CLM,HG01474,AMR,female,colombian
CLM,HG01112,AMR,male,colombian
CLM,HG01113,AMR,female,colombian
CLM,HG01119,AMR,female,colombian
CLM,HG01121,AMR,male,colombian
CLM,HG01250,AMR,male,colombian
CLM,HG01251,AMR,female,colombian
CLM,HG01365,AMR,male,colombian
CLM,HG01366,AMR,female,colombian
CLM,HG01438,AMR,female,colombian
CLM,HG01479,AMR,male,colombian
CLM,HG01485,AMR,male,colombian
CLM,HG01444,AMR,female,colombian
CLM,HG01447,AMR,female,colombian
CLM,HG01455,AMR,male,colombian
CLM,HG01456,AMR,female,colombian
CLM,HG01459,AMR,female,colombian
CLM,HG01461,AMR,male,colombian
CLM,HG01462,AMR,female,colombian
CLM,HG01464,AMR,male,colombian
CLM,HG01122,AMR,female,colombian
CLM,HG01468,AMR,female,colombian
CLM,HG01363,AMR,female,colombian
CLM,HG01440,AMR,male,colombian
CLM,HG01441,AMR,female,colombian
CLM,HG01486,AMR,female,colombian
CLM,HG01134,AMR,female,colombian
